OID_,src_GEOID10,nbr_GEOID10,LENGTH,NODE_COUNT
44129,421014314,421011325,181.723566245690336,0
44130,421014314,421014309,312.055038336551320,0
44131,421014314,421014313,168.954451549532280,0
44132,421014314,421014315,346.931305521673494,0
44133,421014314,421014322,315.944777548907268,0
44134,421014315,421014313,147.097492007993026,0
44135,421014315,421014314,346.931305521673494,0
44136,421014315,421014316,346.224367272651705,0
44137,421014315,421014321,0.000000000000000,1
44138,421014315,421014322,147.204459549913906,0
44139,421014316,421014311,0.000000000000000,1
44140,421014316,421014312,168.012156612926958,0
44141,421014316,421014313,272.536334790119270,0
44142,421014316,421014315,346.224367272651705,0
44143,421014316,421014317,178.881385069333220,0
44144,421014316,421014320,0.000000000000000,1
44145,421014316,421014321,270.936422104130941,0
44146,421014316,421014322,0.000000000000000,1
44147,421014317,421014312,509.515423156821100,0
44148,421014317,421014316,178.881385069333220,0
44149,421014317,421014318,170.488608040408621,0
44150,421014317,421014320,341.650721023806170,0
44151,421014317,421014321,0.000000000000000,1
44152,421014317,42101707,178.780921099652915,0
44153,421014318,421014306,58.730013331795028,0
44154,421014318,421014307,183.029756928497193,0
44155,421014318,421014308,169.579388020800593,0
44156,421014318,421014317,170.488608040408621,0
44157,421014318,421014319,239.865957314875772,0
44158,421014318,421014320,178.477639947918476,0
44159,421014318,42101707,516.334829663627488,0
44160,421014318,42101708,0.000000000000000,1
44161,421014319,421014308,270.330238366603567,0
44162,421014319,421014318,239.865957314875772,0
44163,421014319,421014320,342.258733362558644,0
44164,421014319,421014321,0.000000000000000,1
44165,421014319,421014325,168.152134980979895,0
44166,421014320,421014316,0.000000000000000,1
44167,421014320,421014317,341.650721023806170,0
44168,421014320,421014318,178.477639947918476,0
44169,421014320,421014319,342.258733362558644,0
44170,421014320,421014321,178.822595026191777,0
44171,421014320,421014325,0.000000000000000,1
44172,421014321,421014315,0.000000000000000,1
44173,421014321,421014316,270.936422104130941,0
44174,421014321,421014317,0.000000000000000,1
44175,421014321,421014319,0.000000000000000,1
44176,421014321,421014320,178.822595026191777,0
44177,421014321,421014322,173.969085727588038,0
44178,421014321,421014325,638.549285584483414,0
44179,421014322,421011316,101.769750563062956,0
44180,421014322,421011323,73.908045166147517,0
44181,421014322,421011325,0.000000000000000,1
44182,421014322,421014314,315.944777548907268,0
44183,421014322,421014315,147.204459549913906,0
44184,421014322,421014316,0.000000000000000,1
44185,421014322,421014321,173.969085727588038,0
44186,421014322,421014323,410.227550286683311,0
44187,421014322,421014325,35.630701849130944,0
44188,421014323,421011316,182.216803253804102,0
44189,421014323,421014322,410.227550286683311,0
44190,421014323,421014324,348.273393197509733,0
44191,421014323,421014325,251.293356891888891,0
44192,421014324,421011316,322.641993670792431,0
44193,421014324,421014301,649.684906705550702,0
44194,421014324,421014323,348.273393197509733,0
44195,421014324,421014325,534.246203230369815,0
44196,421014325,421014301,139.260351453244567,0
44197,421014325,421014308,191.483092918048357,0
44198,421014325,421014319,168.152134980979895,0
44199,421014325,421014320,0.000000000000000,1
44200,421014325,421014321,638.549285584483414,0
44201,421014325,421014322,35.630701849130944,0
44202,421014325,421014323,251.293356891888891,0
44203,421014325,421014324,534.246203230369815,0
44204,421014401,42101404,143.757936820463982,0
44205,421014401,42101405,0.000000000000000,1
44206,421014401,421014402,440.392378449726152,0
44207,421014401,421014405,237.485042710100743,0
44208,421014401,421014419,534.671453600295877,0
44209,421014402,42101404,0.000000000000000,1
44210,421014402,42101405,545.801711578761569,0
44211,421014402,421014401,440.392378449726152,0
44212,421014402,421014405,222.344626823610923,0
44213,421014402,421015201,239.573924126144760,0
44214,421014402,421015221,339.782329226078332,0
44215,421014403,42101401,0.000000000000000,1
44216,421014403,42101407,176.478220743593511,0
44217,421014403,421014404,155.679408075592789,0
44218,421014403,421014406,106.095760280896144,0
44219,421014403,421014415,328.461504424318093,0
44220,421014403,421016003,85.731204609979500,0
44221,421014403,421016004,326.579692122674146,0
44222,421014404,42101401,341.685478655495501,0
44223,421014404,42101407,0.000000000000000,1
44224,421014404,42101408,0.000000000000000,1
44225,421014404,421014403,155.679408075592789,0
44226,421014404,421014406,344.445122283792102,0
44227,421014404,421014407,135.784115024059872,0
44228,421014405,421014401,237.485042710100743,0
44229,421014405,421014402,222.344626823610923,0
44230,421014405,421014411,372.184565791728801,0
44231,421014405,421014419,134.216320766596027,0
44232,421014405,421015201,612.624339948399438,0
44233,421014406,421014403,106.095760280896144,0
44234,421014406,421014404,344.445122283792102,0
44235,421014406,421014407,77.497208002739384,0
44236,421014406,421014413,151.308471405021521,0
44237,421014406,421014415,496.102719521403230,0
44238,421014406,421014416,159.615986695701224,0
44239,421014407,42101401,0.000000000000000,1
44240,421014407,42101402,338.607409654523451,0
44241,421014407,42101403,212.122474771676934,0
44242,421014407,42101404,0.000000000000000,1
44243,421014407,42101408,125.167927037736661,0
44244,421014407,421014404,135.784115024059872,0
44245,421014407,421014406,77.497208002739384,0
44246,421014407,421014416,102.712495408530316,0
44247,421014407,421014417,168.388593688084825,0
44248,421014407,421014418,491.782287218643148,0
44249,421014407,421014419,249.726543596960767,0
44250,421014408,421014409,343.238351102515026,0
